Pollutant name;CAS Registry Number;Lower (€/kg);Median (€/kg);Upper (€/kg)
(epoxyethyl) benzene;000096-09-3;4.08;6.03;9.07
1,2,3,6,7,8-hexachlorodibenzo-p-dioxine;057653-85-7;0;1,73;2,24
1,2,3,7,8-pentachlorodibenzodioxin;040321-76-4;0;61,991;80,267
1,2,3-trichlorobenzene;000087-61-6;0.0111;0.0157;0.0203
1,2,3-trichloropropane;000096-18-4;720;1,064;1,603
1,2,4-trichlorobenzene;000120-82-1;0.168;0.248;0.373
1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters;068515-51-5;0;0;0
1,2-benzenedicarboxylic acid, di-C7-11 branched and linear alkyl esters;068515-42-4;0;0;0
1,2-dibromo-3-chloropropane;000096-12-8;2,148;3,175;4,781
1,2-dibromoethane;000106-93-4;249;367;553
1,2-dichloropropane;000078-87-5;20.4;33.8;51
1,2-epoxy-3-phenoxypropane;000122-60-1;3.04;4.5;6.78
1,3,5,7,9,11-hexabromocyclododecane;025637-99-4;0;1.26;1.63
1,3,5-trichlorobenzene;000108-70-3;0;0.00383;0.00496
1,3-butadiene;000106-99-0;1.4;1.91;2.87
1,3-dichloro-2-propanol;000096-23-1;6.34;8.99;11.6
1,3-propanesultone;001120-71-4;163;241;362
1,3-propiolactone;000057-57-8;963;1424;2146
1,4,5,8-tetraaminoanthraquinone;002475-45-8;0.357;0.528;0.795
1,4-dichlorobut-2-ene;000764-41-0;0;567;854
1,5,9-cyclododecatrine;004904-61-4;0;0.00000249;0.00000323
1-bromopropane;000106-94-5;0;0.0000631;0.0000817
1-methyl-3-nitro-1-nitrosoguanidine;000070-25-7;2078;3072;4627
1-methylnaphthalene;000090-12-0;0.0000703;0.0000996;0.000129
2-(2-aminoethylamino)ethanol;000111-41-1;0;0;0
2-(2-methoxyethoxy)ethanol;000111-77-3;0;0.00336;0.00435
2,2'-(nitrosoimino)bisethanol;001116-54-7;274;404;609
2,2-bis(bromomethyl)propane-1,3-diol;003296-90-0;13.9;20.5;30.9
2,3,7,8-tetrachloordibenzodioxine;001746-01-6;34,071,638;50,367,195;75,846,980
2,3,7,8-tetrachlorodibenzofuran;051207-31-9;0;46,685;60,448
2,3-dibromopropane-1-ol;000096-13-9;0;0.126;0.163
2,3-dinitrotoluene;000602-01-7;0.942;1.34;1.73
2,3-epoxypropyl-trimethylammoniumchloride;003033-77-0;0;0.00629;0.00814
2,4,5-trimethylaniline;000137-17-7;0;13.1;19.7
2,4,5-trimethylanilinehydrochloride;021436-97-5;0;1.76;2.65
2,4,6-tri-tert-butylphenol;000732-26-3;0;0.146;0.189
2,4-diaminoanisole sulfate;039156-41-7;0;15.6;23.5
2,4-dinitrotoluene;000121-14-2;10.6;15.6;23.2
2,5-dinitrotoluene;000619-15-8;0;0.791;1.02
2,6-dinitrotoluene;000606-20-2;1,477;2,184;3,288
2-butenal;004170-30-3;0.0042;0.00595;0.00771
2-ethoxyethanol;000110-80-5;0.312;0.414;0.623
2-ethoxyethyl acetate;000111-15-9;0.012;0.017;0.0219
2-ethylhexanoic acid;000149-57-5;0;0.0056;0.00725
2-methoxyethanol;000109-86-4;0.578;0.818;1.23
2-ethoxyethyl acetate;000110-49-6;0;0.117;0.151
2-methylimidazole;000693-98-1;0;2.72;4.1
2-methylnaphthalene;000091-57-6;0.0746;0.11;0.166
2-naphthylamine;000091-59-8;1.88;2.78;4.19
2-nitroanisole;000091-23-6;23;34;51.2
2-nitropropane;000079-46-9;0.615;0.909;1.37
2-nitrotoluene;000088-72-2;0.00997;92.6;140
3,3'-dichlorobenzidine;000091-94-1;31.6;47;70.7
3,3'-dichlorobenzidine dihydrochloride;000612-83-9;0;472;710
3,3'-dimethoxybiphenyl-4,4'-ylenediammonium dichloride;020325-40-0;0;2425;3651
3,3'-dimethylbenzidinedihydrochloride;000612-82-8;0;661;995
3,4-dinitrotoluene;000610-39-9;0;0.358;0.464
3,5-dinitrotoluene;000618-85-9;0;0.173;0.224
4,4'-(4-iminocyclohexa-2,5-dienylidene methylene)dianiline hydrochloride;000569-61-9;0;127;191
4,4'-methyleen-bis(2-chlooraniline) hydrochloride;064049-29-2;0;7.9;11.9
4,4'-bi-o-toluidine;000119-93-7;0;0.834;1.08
4,4'-bis(dimethylamino)benzophenone;000090-94-8;0;271;408
4,4'-methylene bis(2-chloroaniline);000101-14-4;34.5;51;76.8
4,4'-methylenedianiline;000101-77-9;0;0;0
4,4'-methylenedi-o-toluidine;000838-88-0;48.9;72.4;109
4,4'-oxydianiline;000101-80-4;108;159;240
4,4'-thiodianiline;000139-65-1;74.6;110;166
4-aminoazobenzene;000060-09-3;0;1.99;2.58
4-aminobiphenyl;000092-67-1;58.1;85.9;129
4-chloroaniline;000106-47-8;0.0429;0.0624;0.0891
4-chloro-o-toluidine hydrochloride;003165-93-3;7.26;10.7;16.2
4-methyl-m-phenylenediamine;000095-80-7;146;215;324
4-nonylphenol, branched;084852-15-3;0.0272;0.0386;0.05
4-tert-butylbenzoic acid;000098-73-7;0;0.436;0.564
4-tert-butylphenol;000098-54-4;0.00247;0.00351;0.00455
5-allyl-1.3-benzodioxole;000094-59-7;2.31;3.42;5.15
5-nitroacenaphthene;000602-87-9;25.1;37.1;55.8
6.6‘-di-tert-butyl-2.2’-methylenedi-p-cresol;000119-47-1;0;0;0
6-methoxy-m-toluidine;000120-71-8;0.995;1.47;2.22
7-oxa-3-oxiranylbicyclo[4.1.0]heptane;000106-87-6;0;0;0
8-hydroxyquinoline;000148-24-3;0;0.00653;0.00845
Acenaphthene;000083-32-9;0.0111;0.0165;0.0247
Acridine;000260-94-6;0.184;0.261;0.337
Acrylamide;000079-06-1;307;455;685
Acrylonitrile;000107-13-1;30.5;45.1;67.9
Aldrin;000309-00-2;24.1;225;339
Alpha-endosulfan;000959-98-8;10.8;15.4;19.9
Alpha-hexachlorocyclohexane;000319-84-6;153;227;341
Anthracene;000120-12-7;0.0706;0.1;0.13
Anthraquinon;000084-65-1;0.138;0.195;0.253
Arsenic;007440-38-2;6,271;9,275;13,98
Arsenic pentoxide;001303-28-2;1,713;5,01;18,52
Aziridine;000151-56-4;829;1,226;1,846
Azobenzene;000103-33-3;0.196;18.7;28.1
Azocyclotin;041083-11-8;142;203;271
Benomyl;017804-35-2;0.44;0.632;0.861
Benz[a]acridine;000225-11-6;0;12.9;16.7
Benz[c]acridine;000225-51-4;0;155;201
Benzene;000071-43-2;0.275;0.394;0.593
Benzidine;000092-87-5;89,692;132,591;199,666
Benzidine dihydrochloride;000531-85-1;0;107;160
Benzo[a]anthracene;000056-55-3;0;0.996;1.29
